symbol,removed_date,reason,added_symbol
AVP,2015-03-23,,
CFN,2015-03-18,,
PETM,2015-03-12,,
SWY,2015-01-27,,
COV,2015-01-27,,
BMS,2014-12-05,,
JBL,2014-11-05,,
BTU,2014-09-20,,
GHC,2014-09-20,,
RDC,2014-08-18,,
X,2014-07-02,,
FRX,2014-07-01,,
IGT,2014-06-20,,
LSI,2014-05-08,,
BEAM,2014-05-01,,
SLM,2014-05-01,,
CLF,2014-04-02,,
WPX,2014-03-21,,
LIFE,2014-01-24,,
ANF,2013-12-23,,
JDSU,2013-12-23,,
TER,2013-12-23,,
MOLX,2013-12-10,,
JCP,2013-12-02,,
NYX,2013-11-13,,
DELL,2013-10-29,,
AMD,2013-09-20,,
SAI,2013-09-20,,
BMC,2013-09-10,,
S,2013-07-08,,
APOL,2013-07-01,,
FHN,2013-06-21,,
HNZ,2013-06-06,,
DF,2013-05-23,,
CVH,2013-05-08,,
PCS,2013-04-30,,
BIG,2013-02-15,,
FII,2013-01-02,,
TIE,2012-12-21,,
RRD,2012-12-11,,
CBE,2012-12-03,,
SUN,2012-10-10,,
ANR,2012-10-02,,
KFT,2012-10-02,,
LXK,2012-10-01,,
DV,2012-10-01,,
SHLD,2012-09-05,,
GR,2012-07-31,,
PGN,2012-07-02,,
SLE,2012-06-29,,
NVLS,2012-06-05,,
MMI,2012-05-21,,
EP,2012-05-17,,
SVU,2012-04-23,,
MHS,2012-04-03,,
CEG,2012-03-13,,
CPWR,2011-12-31,,
TLAB,2011-12-20,,
AKS,2011-12-16,,
MWW,2011-12-16,,
WFR,2011-12-16,,
GAS,2011-12-12,,
JNS,2011-11-18,,
ITT,2011-10-31,,
CEPH,2011-10-14,,
NSM,2011-09-23,,
MI,2011-07-05,,
RSH,2011-06-30,,
MEE,2011-06-01,,
NOVL,2011-04-27,,
GENZ,2011-04-01,,
Q,2011-03-31,,
MFE,2011-02-28,,
AYE,2011-02-25,,
MDP,2011-01-03,,
KG,2010-12-17,,
EK,2010-12-17,,
ODP,2010-12-17,,
NYT,2010-12-17,,
PTV,2010-11-17,,
SII,2010-08-26,,
MIL,2010-07-14,,
STR,2010-06-30,,
XTO,2010-06-28,,
BJS,2010-04-29,,
RX,2010-02-26,,
CIEN,2009-12-18,,
DYN,2009-12-18,,
KBH,2009-12-18,,
CVG,2009-12-18,,
MBI,2009-12-18,,
SGP,2009-11-03,,
CBE,2009-09-28,,
CTX,2009-08-19,,
TEL,2009-06-25,,
COV,2009-06-05,,
ACAS,2009-03-03,,
JNY,2009-03-03,,
WB,2008-12-31,,
LEH,2008-09-16,,
FRE,2008-09-12,,
FNM,2008-09-12,,
CFC,2008-07-01,,
BC,2008-06-23,,
OMX,2008-06-23,,
ABK,2008-06-10,,
TRB,2007-12-20,,
DJ,2007-12-13,,
AV,2007-10-26,,
SLR,2007-10-02,,
NCR,2007-10-01,,
MXIM,2007-09-27,,
FDC,2007-09-26,,
KSE,2007-08-24,,
ADCT,2007-07-02,,
TSG,2007-03-30,,
SBL,2007-01-10,,
ABS,2006-06-02,,
T,2005-11-18,,
GLK,2005-07-01,,
QTRN,2003-09-25,,
BS,2000-12-05,,
OI,2000-12-05,,
GRA,2000-12-05,,
CCK,2000-12-05,,
RAD,2000-07-27,,
TMC,2000-06-12,,
SMS,2000-06-07,,
LDW,1999-12-08,,
HPH,1999-06-09,,
AN,1998-12-11,,
GRN,1998-12-11,,
SUN,1998-12-11,,
USL,1997-06-17,,
MCK,1994-09-30,,
HNG,1976-07-01,,
AYE,1976-07-01,,
